OTU	DI-1_250.fasta_good	DI-2_250.fasta_good	DI-3_250.fasta_good	DI-4_250.fasta_good	DI-5_250.fasta_good	Mock-25-1_250.fasta_good	Mock-25-2_250.fasta_good	Mock-25-3_250.fasta_good	Mock-25-4_250.fasta_good	Mock-25-5_250.fasta_good	Mock50-1_250.fasta_good	Mock50-2_250.fasta_good	Mock50-3_250.fasta_good	Mock50-4_250.fasta_good	Mock50-5_250.fasta_good	Mock75-1_250.fasta_good	Mock75-2_250.fasta_good	Mock75-3_250.fasta_good	Mock75-4_250.fasta_good	AeMBR-25-2_250.fasta_good	AeMBR-25-3_250.fasta_good	AeMBR-25-4_250.fasta_good	AeMBR-25_1_250.fasta_good	AeMBR-50-1_250.fasta_good	AeMBR-50-2_250.fasta_good	AeMBR-50-3_250.fasta_good	AeMBR-50-4_250.fasta_good	AeMBR-50-5_250.fasta_good	AeMBR75-1_250.fasta_good	AeMBR75-2_250.fasta_good	AeMBR75-3_250.fasta_good	AeMBR75-4_250.fasta_good	AeMBR75-5_250.fasta_good	AnMBR-25-1_250.fasta_good	AnMBR-25-2_250.fasta_good	AnMBR-25-3_250.fasta_good	AnMBR-25-4_250.fasta_good	AnMBR-25-5_250.fasta_good	AnMBR-50-1_250.fasta_good	AnMBR-50-2_250.fasta_good	AnMBR-50-3_250.fasta_good	AnMBR-50-4_250.fasta_good	AnMBR-50-5_250.fasta_good	AnMBR-75-1_250.fasta_good	AnMBR-75-2_250.fasta_good	AnMBR-75-3_250.fasta_good	AnMBR-75-4_250.fasta_good	AnMBR-75-5_250.fasta_good
OTU84	3	144	1	7	9	317	13	17	14	186	9	28	7	15	138	20	1	0	16	22	29	0	16	6	14	6	5	3	7	12	1	7	7	14	20	18	27	5	5	10	10	7	11	8	13	9	23	8
OTU85	284	236	226	263	229	97	118	85	109	19	41	173	103	88	35	111	44	89	72	181	233	130	202	151	272	114	101	58	131	107	54	37	152	109	325	210	182	132	172	151	163	138	192	204	106	240	393	215
OTU87	12	47	81	74	285	21	7	1	2	1	0	17	0	7	1	5	1	1	0	2	12	2	6	174	20	16	36	416	130	432	2543	761	89	3	79	25	36	116	3	5	6	4	7	5	10	1	26	12
OTU88	138	110	84	151	94	33	17	40	48	63	64	56	81	72	71	110	25	85	10	206	130	113	155	114	93	45	31	62	154	66	56	61	129	82	83	129	169	255	48	63	239	194	72	92	162	77	181	145
OTU89	139	476	273	181	494	63	66	79	114	115	62	74	113	127	105	121	46	477	23	601	1710	72	999	374	185	589	452	526	430	732	640	104	144	815	847	547	1133	246	299	518	294	309	574	981	1153	798	945	1117
OTU90	0	0	0	0	0	0	2	0	0	0	1	1	2	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	1	0	2	0
OTU91	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
OTU92	0	0	0	1	0	1	2	5	3	1	3	3	1	3	1	2	1	1	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	4	3	0	2	0	0	2	4	0	0	0	0	3	3
OTU94	0	4	3	5	4	229	42	114	65	108	10	7	5	57	46	6	5	2	5	2	0	0	5	4	1	20	5	1	1	3	2	4	1	7	23	9	3	1	4	1	1	0	0	2	2	4	6	2
OTU95	704	1418	853	1046	1412	466	471	657	392	685	417	693	565	454	601	706	207	413	229	1186	788	562	1165	944	832	550	547	322	564	466	405	287	931	526	728	711	1439	1358	350	288	741	388	330	687	444	338	978	650
OTU98	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
OTU101	231	150	122	304	190	112	174	212	267	496	98	157	145	200	323	95	63	104	162	82	68	90	63	194	227	145	119	65	87	128	103	105	63	129	480	412	141	100	155	132	138	83	61	29	28	59	48	38
OTU103	0	2	2	0	0	0	0	0	0	0	0	7	0	0	0	2	2	1	0	57	33	0	3	17	8	2	6	0	16	6	7	3	4	64	147	69	70	13	16	72	60	15	77	18	12	14	0	84
OTU104	47	116	67	32	93	35	48	43	31	8	5	27	14	55	5	10	8	42	8	66	111	8	67	25	11	22	8	14	27	21	8	18	32	114	230	88	38	54	8	53	30	21	59	52	49	53	52	94
OTU107	271	180	334	374	419	154	162	141	62	4	41	127	69	59	7	38	13	137	36	307	305	187	423	306	264	59	94	28	171	78	15	69	164	60	154	80	301	297	65	78	195	203	242	396	258	282	601	141
OTU109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU111	257	455	350	438	476	130	208	293	253	518	182	356	248	247	428	465	142	379	87	496	558	267	479	403	349	240	165	114	295	151	95	83	292	160	365	326	398	510	108	113	212	121	123	180	169	221	403	260
OTU112	12	23	25	32	21	2	3	5	6	13	12	21	13	8	11	14	2	13	11	32	24	17	28	15	16	8	6	11	13	10	2	6	15	6	7	2	15	17	3	1	13	13	1	8	10	0	17	10
OTU114	20	31	42	53	38	6	8	5	1	13	1	16	10	2	7	30	0	2	0	10	22	8	33	20	23	9	6	11	13	6	3	5	13	5	3	4	32	27	3	0	5	6	1	14	2	16	15	5
OTU115	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1
OTU116	3	5	0	9	16	2	3	10	4	8	4	5	18	5	12	13	0	9	1	5	25	2	12	4	4	0	1	1	8	0	0	0	5	4	2	0	9	4	1	0	7	3	5	6	6	0	39	2
OTU117	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	2	1	1	4	7	0	1	14	1	0	2	7	10	2	22	4	20	61	51	28	72	11	93	71	85	50	8	42	12	7	28	130
OTU118	339	1104	393	321	456	437	716	752	402	506	222	754	254	300	331	961	189	353	540	301	626	105	250	192	704	178	443	109	248	107	12	98	160	276	160	266	662	467	139	105	143	107	100	171	59	212	207	153
OTU119	545	493	275	361	536	275	193	482	292	228	231	388	357	490	259	357	27	833	70	1123	953	364	800	513	183	116	213	87	629	160	110	173	584	115	170	334	1416	1482	122	39	456	244	229	361	288	102	602	448
OTU120	409	470	341	522	666	144	222	256	215	101	132	336	183	239	97	281	62	197	104	628	523	292	512	400	376	268	286	136	417	270	136	226	408	295	365	438	601	409	159	173	365	172	118	280	159	172	552	327
